StatTrak™ P250 | See Ya Later (Minimal Wear)^1311.05
★ StatTrak™ Gut Knife | Lore (Well-Worn)^9775.00
M4A1-S | Control Panel (Minimal Wear)^891.88
USP-S | Para Green (Factory New)^1561.91
Glock-18 | Blue Fissure (Factory New)^1397.64
StatTrak™ MAC-10 | Graven (Minimal Wear)^3585.89
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)^4588.70
StatTrak™ AK-47 | Nightwish (Battle-Scarred)^1085.28
★ StatTrak™ Navaja Knife | Blue Steel (Field-Tested)^8566.38
StatTrak™ MAC-10 | Tatter (Factory New)^1283.73
StatTrak™ UMP-45 | Momentum (Minimal Wear)^773.81
StatTrak™ AK-47 | Leet Museo (Battle-Scarred)^4550.63
StatTrak™ MAC-10 | Curse (Battle-Scarred)^1180.33
StatTrak™ AWP | Duality (Factory New)^2209.65
XM1014 | Banana Leaf (Minimal Wear)^1843.61
D Squadron Officer | NZSAS^4116.15
StatTrak™ P2000 | Imperial Dragon (Factory New)^1590.10
USP-S | Stainless (Factory New)^1604.23
Five-SeveN | Anodized Gunmetal (Factory New)^891.78
StatTrak™ G3SG1 | Flux (Well-Worn)^1330.00
StatTrak™ Dual Berettas | Marina (Well-Worn)^789.25
USP-S | Royal Blue (Minimal Wear)^1333.30
M4A1-S | Atomic Alloy (Well-Worn)^3158.12
AK-47 | Aquamarine Revenge (Well-Worn)^1919.06
StatTrak™ AWP | Hyper Beast (Minimal Wear)^9088.77
Galil AR | Chatterbox (Well-Worn)^1177.98
StatTrak™ P90 | Death Grip (Field-Tested)^1155.26
MAG-7 | Hazard (Minimal Wear)^1208.81
CZ75-Auto | Yellow Jacket (Factory New)^965.15
StatTrak™ Negev | Power Loader (Factory New)^1951.71
StatTrak™ M4A4 | Temukau (Minimal Wear)^6917.89
StatTrak™ MP9 | Starlight Protector (Minimal Wear)^1416.62
AUG | Momentum (Factory New)^1198.07
Glock-18 | Neo-Noir (Battle-Scarred)^959.65
M4A1-S | Basilisk (Well-Worn)^717.62
StatTrak™ M4A4 | The Battlestar (Minimal Wear)^1783.69
StatTrak™ FAMAS | Commemoration (Well-Worn)^1769.30
P250 | Apep's Curse (Well-Worn)^2562.43
AK-47 | Inheritance (Field-Tested)^6299.09
StatTrak™ Glock-18 | Water Elemental (Minimal Wear)^2023.21
AWP | Duality (Factory New)^919.93
StatTrak™ USP-S | Serum (Minimal Wear)^3631.22
StatTrak™ M4A4 | Cyber Security (Battle-Scarred)^1810.28
StatTrak™ MP5-SD | Phosphor (Factory New)^1613.61
★ Shadow Daggers | Black Laminate (Minimal Wear)^8268.74
StatTrak™ AUG | Momentum (Minimal Wear)^969.42
★ Shadow Daggers | Damascus Steel (Well-Worn)^7729.47
StatTrak™ FAMAS | Afterimage (Minimal Wear)^2153.88
★ Survival Knife | Urban Masked (Well-Worn)^7555.35
StatTrak™ Galil AR | Stone Cold (Factory New)^1870.00
Gamma 2 Case Key^842.93
StatTrak™ Tec-9 | Decimator (Field-Tested)^2038.48
StatTrak™ M4A1-S | Decimator (Well-Worn)^2530.95
★ StatTrak™ Navaja Knife | Stained (Battle-Scarred)^7644.90
Galil AR | Cerberus (Battle-Scarred)^1046.29
★ Classic Knife | Boreal Forest (Well-Worn)^9739.60
SG 553 | Desert Blossom (Factory New)^1474.68
Galil AR | Cerberus (Well-Worn)^1247.97
SCAR-20 | Cyrex (Factory New)^4301.76
Zeus x27 | Olympus (Minimal Wear)^871.13
StatTrak™ P90 | Nostalgia (Factory New)^1951.41
StatTrak™ M4A1-S | Leaded Glass (Battle-Scarred)^963.26
StatTrak™ M4A1-S | Bright Water (Field-Tested)^4579.32
Glock-18 | Groundwater (Well-Worn)^853.45
StatTrak™ USP-S | Jawbreaker (Well-Worn)^1152.51
Galil AR | Eco (Minimal Wear)^2616.19
Desert Eagle | Cobalt Disruption (Minimal Wear)^6132.75
StatTrak™ P90 | Death Grip (Battle-Scarred)^886.96
MAC-10 | Stalker (Well-Worn)^831.17
AUG | Wings (Factory New)^1949.12
★ Navaja Knife | Rust Coat (Battle-Scarred)^8284.45
★ Huntsman Knife | Urban Masked (Field-Tested)^9101.51
PP-Bizon | Rust Coat (Field-Tested)^863.31
FAMAS | Dark Water (Field-Tested)^1120.85
Galil AR | Orange DDPAT (Field-Tested)^1176.87
Tec-9 | Brass (Minimal Wear)^756.57
MP7 | Whiteout (Well-Worn)^882.65
Negev | Infrastructure (Minimal Wear)^896.18
StatTrak™ AK-47 | Asiimov (Well-Worn)^5345.13
★ StatTrak™ Classic Knife | Safari Mesh (Field-Tested)^9699.47
★ Ursus Knife | Scorched (Battle-Scarred)^8880.53
★ Paracord Knife | Forest DDPAT (Battle-Scarred)^8269.48
StatTrak™ MAC-10 | Disco Tech (Factory New)^3153.82
★ Shadow Daggers | Rust Coat (Battle-Scarred)^8119.06
★ Paracord Knife | Urban Masked (Field-Tested)^8658.77
★ Shadow Daggers | Lore (Field-Tested)^9902.50
AK-47 | Predator (Battle-Scarred)^1604.57
StatTrak™ M4A4 | Neo-Noir (Factory New)^7425.46
P250 | Splash (Factory New)^2708.09
M4A1-S | Player Two (Battle-Scarred)^1122.74
AK-47 | Jaguar (Minimal Wear)^7952.48
StatTrak™ P2000 | Handgun (Factory New)^1079.26
USP-S | Printstream (Well-Worn)^2667.88
Glock-18 | Groundwater (Minimal Wear)^1149.37
Tec-9 | Blast From the Past (Field-Tested)^1025.34
StatTrak™ USP-S | Jawbreaker (Battle-Scarred)^1151.28
★ Falchion Knife | Scorched (Battle-Scarred)^8321.19
★ Gut Knife | Ultraviolet (Field-Tested)^8243.87
★ Hydra Gloves | Mangrove (Minimal Wear)^7179.22
Spectrum 2 Case Key^883.05
StatTrak™ MAC-10 | Tatter (Well-Worn)^934.11
CZ75-Auto | Xiangliu (Minimal Wear)^835.62
AWP | Elite Build (Factory New)^2523.96
StatTrak™ AWP | Elite Build (Field-Tested)^2014.51
★ StatTrak™ Shadow Daggers | Damascus Steel (Minimal Wear)^9961.09
M4A1-S | Control Panel (Factory New)^3607.70
★ StatTrak™ Shadow Daggers | Forest DDPAT (Field-Tested)^7275.01
FAMAS | Djinn (Factory New)^837.87
MP9 | Music Box (Factory New)^1449.73
MAC-10 | Gold Brick (Battle-Scarred)^3431.73
★ Bowie Knife | Bright Water (Minimal Wear)^9812.42
Galil AR | Cerberus (Field-Tested)^1540.55
USP-S | Road Rash (Factory New)^4679.10
StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested)^1495.98
StatTrak™ M4A4 | X-Ray (Factory New)^6045.86
StatTrak™ AWP | Corticera (Minimal Wear)^2801.37
Nova | Modern Hunter (Battle-Scarred)^1167.99
★ Bloodhound Gloves | Bronzed (Battle-Scarred)^6751.61
AK-47 | Inheritance (Battle-Scarred)^4841.86
StatTrak™ XM1014 | Tranquility (Battle-Scarred)^1445.00
StatTrak™ SCAR-20 | Cyrex (Factory New)^7260.50
★ Classic Knife | Forest DDPAT (Field-Tested)^9840.81
AWP | Chrome Cannon (Field-Tested)^3910.15
StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested)^808.67
Chroma Pin^1060.47
StatTrak™ AWP | Corticera (Field-Tested)^2400.06
StatTrak™ P250 | Red Rock (Well-Worn)^886.60
XM1014 | VariCamo Blue (Factory New)^1230.56
★ StatTrak™ Ursus Knife | Scorched (Field-Tested)^9352.83
P90 | Baroque Red (Field-Tested)^2275.70
Dual Berettas | Pyre (Minimal Wear)^1780.65
★ Shadow Daggers | Case Hardened (Well-Worn)^9690.65
Copenhagen 2024 Viewer Pass + 3 Souvenir Tokens^1939.11
FAMAS | Waters of Nephthys (Factory New)^6841.28
AUG | Carved Jade (Minimal Wear)^1237.55
Desert Eagle | Golden Koi (Factory New)^8339.50
MAC-10 | Stalker (Battle-Scarred)^801.58
Nova | Interlock (Factory New)^1068.90
StatTrak™ SCAR-20 | Cardiac (Battle-Scarred)^729.74
AK-47 | Inheritance (Minimal Wear)^8712.70
SSG 08 | Detour (Factory New)^1361.32
★ StatTrak™ Navaja Knife | Blue Steel (Minimal Wear)^8841.92
StatTrak™ M4A1-S | Black Lotus (Minimal Wear)^2833.03
★ Classic Knife | Boreal Forest (Battle-Scarred)^9599.40
★ StatTrak™ Survival Knife | Night Stripe (Field-Tested)^8425.55
StatTrak™ MP7 | Nemesis (Field-Tested)^899.03
Nova | Hyper Beast (Factory New)^2430.82
StatTrak™ M4A4 | Neo-Noir (Well-Worn)^969.85
MP7 | Whiteout (Field-Tested)^915.89
Copenhagen 2024 Viewer Pass^1769.72
StatTrak™ FAMAS | Rapid Eye Movement (Factory New)^1193.07
M4A4 | Hellfire (Factory New)^4906.66
★ Shadow Daggers | Damascus Steel (Field-Tested)^8665.26
★ Shadow Daggers | Ultraviolet (Well-Worn)^8471.34
CZ75-Auto | Nitro (Well-Worn)^789.12
MAC-10 | Case Hardened (Minimal Wear)^6599.74
StatTrak™ MAG-7 | Firestarter (Factory New)^871.51
StatTrak™ MAC-10 | Ultraviolet (Factory New)^4945.30
StatTrak™ Zeus x27 | Olympus (Field-Tested)^1551.20
AK-47 | Red Laminate (Well-Worn)^3574.70
AK-47 | Point Disarray (Well-Worn)^894.08
Glove Case Key^1093.10
StatTrak™ USP-S | Caiman (Field-Tested)^5273.56
UMP-45 | Minotaur's Labyrinth (Factory New)^8483.14
★ Paracord Knife | Urban Masked (Minimal Wear)^9178.94
StatTrak™ P2000 | Corticera (Field-Tested)^1064.08
AUG | Wings (Minimal Wear)^1859.30
★ Shadow Daggers | Boreal Forest (Well-Worn)^7385.22
★ Survival Knife | Boreal Forest (Battle-Scarred)^8078.07
M4A1-S | Black Lotus (Minimal Wear)^1191.70
★ Hydra Gloves | Case Hardened (Field-Tested)^8583.39
StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)^1784.91
Autograph Capsule | Cloud9 | Cluj-Napoca 2015^717.82
StatTrak™ Desert Eagle | Code Red (Field-Tested)^3836.93
AWP | Hyper Beast (Factory New)^7525.58
★ StatTrak™ Gut Knife | Boreal Forest (Battle-Scarred)^8150.35
★ StatTrak™ Navaja Knife | Damascus Steel (Factory New)^9742.59
USP-S | Para Green (Field-Tested)^951.15
StatTrak™ M4A1-S | Briefing (Well-Worn)^966.65
P2000 | Pathfinder (Factory New)^1634.83
StatTrak™ AWP | Man-o'-war (Minimal Wear)^6514.54
StatTrak™ Five-SeveN | Fairy Tale (Well-Worn)^1843.12
Katowice 2019 Cache Souvenir Package^936.76
StatTrak™ CZ75-Auto | Victoria (Factory New)^7631.75
StatTrak™ M4A4 | Cyber Security (Field-Tested)^2124.15
M4A4 | Daybreak (Battle-Scarred)^9301.02
